1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Actions of 30 September – 4 October 1917;Crown Prince Rupprecht of Bavaria;Douglas Haig
Actions of St Eloi Craters;Douglas Haig;Erich von Falkenhayn
Actions of St Eloi Craters;Douglas Haig;Hugo von Wasielewski
Actions of St Eloi Craters;Edwin Alderson;Erich von Falkenhayn
Actions of St Eloi Craters;Edwin Alderson;Hugo von Wasielewski
Actions of the Bluff-- 1916;Erich von Falkenhayn;Douglas Haig
Actions of the Bluff-- 1916;Erich von Falkenhayn;Douglas Haig
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;Erich von Falkenhayn
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;General Kuntze
Actions of the Hohenzollern Redoubt;Ferdinand Foch;Erich von Falkenhayn
Actions of the Hohenzollern Redoubt;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;Ferdinand Foch;General Kuntze
Actions of the Hohenzollern Redoubt;George Thesiger;Erich von Falkenhayn
Actions of the Hohenzollern Redoubt;George Thesiger;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;George Thesiger;General Kuntze
Action off Lerwick;Charles Fox (lieutenant commander);Max Leonhardi
Action off Lerwick;Charles Fox (lieutenant commander);Siegfried Westerkamp
Action off Lerwick;Edward Brooke;Max Leonhardi
Action off Lerwick;Edward Brooke;Siegfried Westerkamp
Action off Noordhinder Bank;James Henry Domville;Hermann Schoemann
Action of 10 March 1917;Nikolaus zu Dohna-Schlodien;Archibald Bisset Smith
Action of 10 May 1915;Andrei Eberhardt;Richard Ackermann
Action of 11–12 December 1917;Reinhard Scheer;J. R. C. Cavendish
Action of 11–12 December 1917;Reinhard Scheer;Vincent Molteno
Action of 11–12 December 1917;Paul Heinrich;J. R. C. Cavendish
Action of 11–12 December 1917;Paul Heinrich;Vincent Molteno
Action of 14 October 1918;Carvalho Araújo;Lothar von Arnauld de la Perière
Action of 14__15 February 1918;Roger Keyes;Ludwig von Schröder
Action of 14__15 February 1918;Roger Keyes;Oskar Heinecke
Action of 14__15 February 1918;A. E. Berry;Ludwig von Schröder
Action of 14__15 February 1918;A. E. Berry;Oskar Heinecke
Action of 15 August 1917;Thomas Crisp;Karsten von Heydebreck
Action of 15 August 1917;William “Johnsey” Manning;Karsten von Heydebreck
Action of 15 October 1917;Walter N. Vernou;Victor Dieckmann
Action of 16 March 1917;Francis Martin-Leake;Hans von Laffert
Action of 17 November 1917;Frank Berrien;Gustav Amberger
Action of 17 November 1917;Arthur S. Carpender;Gustav Amberger
Action of 19 August 1916;John Jellicoe;Reinhard Scheer
Action of 19 August 1916;John Jellicoe;Franz von Hipper
Action of 19 August 1916;David Beatty;Reinhard Scheer
Action of 19 August 1916;David Beatty;Franz von Hipper
Action of 22 August 1917;Douglas Haig;Crown Prince Rupprecht of Bavaria
Action of 22 August 1917;Douglas Haig;Friedrich Sixt von Armin
Action of 22 August 1917;Hubert Gough;Crown Prince Rupprecht of Bavaria
Action of 22 August 1917;Hubert Gough;Friedrich Sixt von Armin
Action of 22 October 1917;Douglas Haig;Crown Prince Rupprecht of Bavaria
Action of 22 September 1914;Otto Weddigen;John Drummond
Action of 22 September 1914;Otto Weddigen;Wilmot Nicholson
Action of 22 September 1914;Otto Weddigen;Robert Johnson
Action of 25 September 1917;Crown Prince Rupprecht of Bavaria;Douglas Haig
Action of 29 February 1916;Thomas Erskine Wardle;Rudolf Tietze
Action of 4 May 1917;John Saumarez Dumaresq;Hermann Kraushaar
Action of 8 January 1916;Andrei Eberhardt;Wilhelm Souchon
Action of 8 June 1915;Gustav Klasing;Castruccio Castracane degli Antelminelli
Action of 8 June 1915;Hans Fritsche von Crouenwald;Castruccio Castracane degli Antelminelli
Action of Agagia;Jaafar Pasha;William Peyton
Action of Agagia;Jaafar Pasha;Henry Lukin
Action of Khan Baghdadi;Harry Triscott Brooking;Mustafa Kemal Bey
Action of the Cockcroft;Douglas Haig;Crown Prince Rupprecht of Bavaria
Action of the Cockcroft;Douglas Haig;Friedrich Sixt von Armin
Action of the Cockcroft;Hubert Gough;Crown Prince Rupprecht of Bavaria
Action of the Cockcroft;Hubert Gough;Friedrich Sixt von Armin
Action on the Polderhoek Spur;Douglas Haig;Crown Prince Rupprecht of Bavaria
Affair of Agbeluvoe;H. B. Potter;Georg Pfähler
Affair of Agbeluvoe;H. S. Collins;Georg Pfähler
Affair of Khra;Frederick Bryant;Hans Georg von Doering
Affair of Khra;A. F. Redfern;Hans Georg von Doering
Affair of Khra;H. S. Collins;Hans Georg von Doering
Affair of Khra;R. Castaing;Hans Georg von Doering
Affair of Néry;Charles James Briggs;Otto von Garnier
Attacks on High Wood;Douglas Haig;Crown Prince Rupprecht of Bavaria
Attacks on High Wood;Douglas Haig;Fritz von Below
Attacks on High Wood;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Attacks on High Wood;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Attacks on the Butte de Warlencourt;Douglas Haig;Crown Prince Rupprecht of Bavaria
Attacks on the Butte de Warlencourt;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Attack at Fromelles;Richard Haking;Gustav Scanzoni von Lichtenfels
Attack of the Dead Men;Paul von Hindenburg;Vladimir Karpovich Kotlinsky
Attack of the Dead Men;Paul von Hindenburg;Władysław Strzemiński
Attack of the Dead Men;Rudolf von Freudenberg;Vladimir Karpovich Kotlinsky
Attack of the Dead Men;Rudolf von Freudenberg;Władysław Strzemiński
Attack on the Boar's Head;Douglas Haig;Erich von Falkenhayn
Attack on the Gommecourt Salient;Douglas Haig;Erich von Falkenhayn
Baralong incidents;Godfrey Herbert;Bernd Wegener
Baralong incidents;Godfrey Herbert;Klaus Hansen
Baralong incidents;A. Wilmot-Smith;Bernd Wegener
Baralong incidents;A. Wilmot-Smith;Klaus Hansen
Baranovichi offensive;Prince Leopold of Bavaria;Aleksei Evert
Baranovichi offensive;Prince Leopold of Bavaria;Alexander Ragoza
Baranovichi offensive;Remus von Woyrsch;Aleksei Evert
Baranovichi offensive;Remus von Woyrsch;Alexander Ragoza
Battles of Ramadi (1917);Charles Levenax Haldane;İsmet İnönü
Battle for Baby 700;Alexander Godley;Mustafa Kemal Atatürk
Battle for Height 958;Major general Ignaz Fleischmann;Vladimir Alekseyevich Alftan
Battle for Lake Tanganyika;Geoffrey Spicer-Simson;Gustav Zimmer
Battle for Lake Tanganyika;Georges Moulaert;Gustav Zimmer
Battle for No.3 Post;Andrew Hamilton Russell;Mustafa Kemal Atatürk
Battle for the Vistula bridgehead;August von Mackensen;Vladimir Vasilyevich Smirnov
Battle for the Vistula bridgehead;August von Mackensen;Vasily Gurko
Battle off Texel;Cecil H. Fox;Georg Thiele
Battle of Abaran;Drastamat Kanayan;Esad Pasa
Battle of Abaran;Drastamat Kanayan;Kezim Pasa
Battle of Abaran;Movses Silikyan;Esad Pasa
Battle of Abaran;Movses Silikyan;Kezim Pasa
Battle of Abaran;Jangir Agha;Esad Pasa
Battle of Abaran;Jangir Agha;Kezim Pasa
Battle of Ad-Dakim;Ahmet Tevfik Alpsoy;Ali bin Ahmed Al-Abdali
Battle of Ad-Dakim;Ahmet Tevfik Alpsoy;D. G. L. Shaw
Battle of Ad-Dakim;Ali Sait Akbaytogan;Ali bin Ahmed Al-Abdali
Battle of Ad-Dakim;Ali Sait Akbaytogan;D. G. L. Shaw
Battle of Ad-Dakim;Hüseyin Ragıp Bey;Ali bin Ahmed Al-Abdali
Battle of Ad-Dakim;Hüseyin Ragıp Bey;D. G. L. Shaw
Battle of Ad-Dakim;Imam Yahya;Ali bin Ahmed Al-Abdali
Battle of Ad-Dakim;Imam Yahya;D. G. L. Shaw
Battle of Ahvenkoski;Otto von Brandenstein;Oskar Vinte
Battle of Albert (1914);Noël Édouard, vicomte de Curières de Castelnau;Crown Prince Rupprecht of Bavaria
Battle of Albert (1916);Joseph Joffre;Erich von Falkenhayn
Battle of Albert (1916);Joseph Joffre;Fritz von Below
Battle of Albert (1916);Joseph Joffre;Fritz von Lossberg
Battle of Albert (1916);Joseph Joffre;Günther von Pannewitz
Battle of Albert (1916);Ferdinand Foch;Erich von Falkenhayn
Battle of Albert (1916);Ferdinand Foch;Fritz von Below
Battle of Albert (1916);Ferdinand Foch;Fritz von Lossberg
Battle of Albert (1916);Ferdinand Foch;Günther von Pannewitz
Battle of Albert (1916);Émile Fayolle;Erich von Falkenhayn
Battle of Albert (1916);Émile Fayolle;Fritz von Below
Battle of Albert (1916);Émile Fayolle;Fritz von Lossberg
Battle of Albert (1916);Émile Fayolle;Günther von Pannewitz
Battle of Albert (1916);Douglas Haig;Erich von Falkenhayn
Battle of Albert (1916);Douglas Haig;Fritz von Below
Battle of Albert (1916);Douglas Haig;Fritz von Lossberg
Battle of Albert (1916);Douglas Haig;Günther von Pannewitz
Battle of Albert (1916);Henry Rawlinson, 1st Baron Rawlinson;Erich von Falkenhayn
Battle of Albert (1916);Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Albert (1916);Henry Rawlinson, 1st Baron Rawlinson;Fritz von Lossberg
Battle of Albert (1916);Henry Rawlinson, 1st Baron Rawlinson;Günther von Pannewitz
Battle of Albert (1916);Hubert Gough;Erich von Falkenhayn
Battle of Albert (1916);Hubert Gough;Fritz von Below
Battle of Albert (1916);Hubert Gough;Fritz von Lossberg
Battle of Albert (1916);Hubert Gough;Günther von Pannewitz
Battle of Albert (1916);Edmund Allenby;Erich von Falkenhayn
Battle of Albert (1916);Edmund Allenby;Fritz von Below
Battle of Albert (1916);Edmund Allenby;Fritz von Lossberg
Battle of Albert (1916);Edmund Allenby;Günther von Pannewitz
Battle of Aleppo (1918);Emir Faisal;Mustafa Kemal Atatürk
Battle of Aleppo (1918);Emir Faisal;Liman von Sanders
Battle of Aleppo (1918);Edmund Allenby;Mustafa Kemal Atatürk
Battle of Aleppo (1918);Edmund Allenby;Liman von Sanders
Battle of Aleppo (1918);Harry Chauvel;Mustafa Kemal Atatürk
Battle of Aleppo (1918);Harry Chauvel;Liman von Sanders
Battle of Amiens (1918);Ferdinand Foch;Paul von Hindenburg
Battle of Amiens (1918);Ferdinand Foch;Erich Ludendorff
Battle of Amiens (1918);Ferdinand Foch;Georg von der Marwitz
Battle of Amiens (1918);Ferdinand Foch;Oskar von Hutier
Battle of Amiens (1918);Douglas Haig;Paul von Hindenburg
Battle of Amiens (1918);Douglas Haig;Erich Ludendorff
Battle of Amiens (1918);Douglas Haig;Georg von der Marwitz
Battle of Amiens (1918);Douglas Haig;Oskar von Hutier
Battle of Amiens (1918);Henry Rawlinson, 1st Baron Rawlinson;Paul von Hindenburg
Battle of Amiens (1918);Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Battle of Amiens (1918);Henry Rawlinson, 1st Baron Rawlinson;Georg von der Marwitz
Battle of Amiens (1918);Henry Rawlinson, 1st Baron Rawlinson;Oskar von Hutier
Battle of Amiens (1918);Arthur Currie;Paul von Hindenburg
Battle of Amiens (1918);Arthur Currie;Erich Ludendorff
Battle of Amiens (1918);Arthur Currie;Georg von der Marwitz
Battle of Amiens (1918);Arthur Currie;Oskar von Hutier
Battle of Amiens (1918);John Monash;Paul von Hindenburg
Battle of Amiens (1918);John Monash;Erich Ludendorff
Battle of Amiens (1918);John Monash;Georg von der Marwitz
Battle of Amiens (1918);John Monash;Oskar von Hutier
Battle of Amiens (1918);Marie-Eugène Debeney;Paul von Hindenburg
Battle of Amiens (1918);Marie-Eugène Debeney;Erich Ludendorff
Battle of Amiens (1918);Marie-Eugène Debeney;Georg von der Marwitz
Battle of Amiens (1918);Marie-Eugène Debeney;Oskar von Hutier
Battle of Amiens (1918);Georges Louis Humbert;Paul von Hindenburg
Battle of Amiens (1918);Georges Louis Humbert;Erich Ludendorff
Battle of Amiens (1918);Georges Louis Humbert;Georg von der Marwitz
Battle of Amiens (1918);Georges Louis Humbert;Oskar von Hutier
Battle of Antivari;Augustin Boué de Lapeyrère;Paul Pachner
Battle of Antrea;Herman Wärnhjelm;A. Backman
Battle of Antrea;Aarne Sihvo;A. Backman
Battle of Arara;Liman von Sanders;Edmund Allenby
Battle of Arara;Liman von Sanders;Jean Philpin de Piépape
Battle of Arara;Liman von Sanders;Louis Romieu
Battle of Arara;Liman von Sanders;Steuart Hare
Battle of Arara;Cevat Çobanlı;Edmund Allenby
Battle of Arara;Cevat Çobanlı;Jean Philpin de Piépape
Battle of Arara;Cevat Çobanlı;Louis Romieu
Battle of Arara;Cevat Çobanlı;Steuart Hare
Battle of Arara;Gustav von Oppen;Edmund Allenby
Battle of Arara;Gustav von Oppen;Jean Philpin de Piépape
Battle of Arara;Gustav von Oppen;Louis Romieu
Battle of Arara;Gustav von Oppen;Steuart Hare
Battle of Ardahan;Nikolai Istomin;Lt. Col. August Stange Bey
Battle of Ardahan;Illarion Ivanovich Vorontsov-Dashkov;Lt. Col. August Stange Bey
Battle of Armentières;Horace Smith-Dorrien;Crown Prince Rupprecht of Bavaria
Battle of Arras (1914);Louis de Maud'huy;Crown Prince Rupprecht of Bavaria
Battle of Arras (1917);Douglas Haig;Erich Ludendorff
Battle of Arras (1917);Douglas Haig;Ludwig von Falkenhausen
Battle of Arras (1917);Edmund Allenby;Erich Ludendorff
Battle of Arras (1917);Edmund Allenby;Ludwig von Falkenhausen
Battle of Arras (1917);Hubert Gough;Erich Ludendorff
Battle of Arras (1917);Hubert Gough;Ludwig von Falkenhausen
Battle of Arras (1917);Henry Horne, 1st Baron Horne;Erich Ludendorff
Battle of Arras (1917);Henry Horne, 1st Baron Horne;Ludwig von Falkenhausen
Battle of Asiago;Luigi Cadorna;Conrad von Hötzendorf
Battle of Asiago;Luigi Cadorna;Archduke Eugen of Austria
Battle of Asiago;Luigi Cadorna;Viktor Dankl von Krasnik
Battle of Asiago;Luigi Cadorna;Hermann Kövess von Kövesshaza
Battle of Asiago;Roberto Brusati;Conrad von Hötzendorf
Battle of Asiago;Roberto Brusati;Archduke Eugen of Austria
Battle of Asiago;Roberto Brusati;Viktor Dankl von Krasnik
Battle of Asiago;Roberto Brusati;Hermann Kövess von Kövesshaza
Battle of Asiago;Guglielmo Pecori Giraldi;Conrad von Hötzendorf
Battle of Asiago;Guglielmo Pecori Giraldi;Archduke Eugen of Austria
Battle of Asiago;Guglielmo Pecori Giraldi;Viktor Dankl von Krasnik
Battle of Asiago;Guglielmo Pecori Giraldi;Hermann Kövess von Kövesshaza
Battle of Asiago;Pietro Frugoni;Conrad von Hötzendorf
Battle of Asiago;Pietro Frugoni;Archduke Eugen of Austria
Battle of Asiago;Pietro Frugoni;Viktor Dankl von Krasnik
Battle of Asiago;Pietro Frugoni;Hermann Kövess von Kövesshaza
Battle of Aubers;John French, 1st Earl of Ypres;Crown Prince Rupprecht of Bavaria
Battle of Augustów (1914);Evgeny Aleksandrovich Radkevich;Paul von Hindenburg
Battle of Augustów (1914);Evgeny Aleksandrovich Radkevich;Richard von Schubert
Battle of Augustów (1914);Vasily Flug;Paul von Hindenburg
Battle of Augustów (1914);Vasily Flug;Richard von Schubert
Battle of Bakhmach;Ludvík Krejčí;Johannes von Eben
Battle of Bakhmach;Nikolai Krylenko;Johannes von Eben
Battle of Baku;Nuri Killigil;Stepan Shaumian
Battle of Baku;Nuri Killigil;Grigory Korganov
Battle of Baku;Mürsel Bakû;Stepan Shaumian
Battle of Baku;Mürsel Bakû;Grigory Korganov
Battle of Baku;Suleyman Izzet Bey;Stepan Shaumian
Battle of Baku;Suleyman Izzet Bey;Grigory Korganov
Battle of Baku;Ali-Agha Shikhlinski;Stepan Shaumian
Battle of Baku;Ali-Agha Shikhlinski;Grigory Korganov
Battle of Baku;Nasib bey Yusifbeyli;Stepan Shaumian
Battle of Baku;Nasib bey Yusifbeyli;Grigory Korganov
Battle of Baku;Nuri Killigil;Georgy Dokuchaev
Battle of Baku;Nuri Killigil;Yakov Bagratuni
Battle of Baku;Nuri Killigil;Lionel Dunsterville
Battle of Baku;Nuri Killigil;Hamazasp Srvandztyan
Battle of Baku;Mürsel Bakû;Georgy Dokuchaev
Battle of Baku;Mürsel Bakû;Yakov Bagratuni
Battle of Baku;Mürsel Bakû;Lionel Dunsterville
Battle of Baku;Mürsel Bakû;Hamazasp Srvandztyan
Battle of Baku;Suleyman Izzet Bey;Georgy Dokuchaev
Battle of Baku;Suleyman Izzet Bey;Yakov Bagratuni
Battle of Baku;Suleyman Izzet Bey;Lionel Dunsterville
Battle of Baku;Suleyman Izzet Bey;Hamazasp Srvandztyan
Battle of Baku;Ali-Agha Shikhlinski;Georgy Dokuchaev
Battle of Baku;Ali-Agha Shikhlinski;Yakov Bagratuni
Battle of Baku;Ali-Agha Shikhlinski;Lionel Dunsterville
Battle of Baku;Ali-Agha Shikhlinski;Hamazasp Srvandztyan
Battle of Baku;Nasib bey Yusifbeyli;Georgy Dokuchaev
Battle of Baku;Nasib bey Yusifbeyli;Yakov Bagratuni
Battle of Baku;Nasib bey Yusifbeyli;Lionel Dunsterville
Battle of Baku;Nasib bey Yusifbeyli;Hamazasp Srvandztyan
Battle of Baku;Stepan Shaumian;Georgy Dokuchaev
Battle of Baku;Stepan Shaumian;Yakov Bagratuni
Battle of Baku;Stepan Shaumian;Lionel Dunsterville
Battle of Baku;Stepan Shaumian;Hamazasp Srvandztyan
Battle of Baku;Grigory Korganov;Georgy Dokuchaev
Battle of Baku;Grigory Korganov;Yakov Bagratuni
Battle of Baku;Grigory Korganov;Lionel Dunsterville
Battle of Baku;Grigory Korganov;Hamazasp Srvandztyan
Battle of Banjo;Frederick Hugh Cunliffe;Adolf Schipper
Battle of Banjo;Bowyer-Smijth;Adolf Schipper
Battle of Basra (1914);T. E. Lawrence;Mehmed Subhi Bey
Battle of Basra (1914);T. E. Lawrence;Süleyman Askerî
Battle of Basra (1914);C. V. F. Townshend;Mehmed Subhi Bey
Battle of Basra (1914);C. V. F. Townshend;Süleyman Askerî
Battle of Basra (1914);Arthur Barrett (Indian Army officer);Mehmed Subhi Bey
Battle of Basra (1914);Arthur Barrett (Indian Army officer);Süleyman Askerî
Battle of Basra (1914);John Nixon;Mehmed Subhi Bey
Battle of Basra (1914);John Nixon;Süleyman Askerî
Battle of Bazargic;Stefan Toshev;Andrei Zayonchkovski
Battle of Bazargic;Ivan Kolev (general);Andrei Zayonchkovski
Battle of Bazargic;Todor Kantardzhiev;Andrei Zayonchkovski
Battle of Bazentin Ridge;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Beersheba (1917);Edmund Allenby;Friedrich Kress von Kressenstein
Battle of Beersheba (1917);Edmund Allenby;Fevzi Çakmak
Battle of Beersheba (1917);Edmund Allenby;İsmet İnönü
Battle of Beersheba (1917);Harry Chauvel;Friedrich Kress von Kressenstein
Battle of Beersheba (1917);Harry Chauvel;Fevzi Çakmak
Battle of Beersheba (1917);Harry Chauvel;İsmet İnönü
Battle of Beersheba (1917);Edward Chaytor;Friedrich Kress von Kressenstein
Battle of Beersheba (1917);Edward Chaytor;Fevzi Çakmak
Battle of Beersheba (1917);Edward Chaytor;İsmet İnönü
Battle of Beersheba (1917);Philip Chetwode;Friedrich Kress von Kressenstein
Battle of Beersheba (1917);Philip Chetwode;Fevzi Çakmak
Battle of Beersheba (1917);Philip Chetwode;İsmet İnönü
Battle of Behobeho;Ernst Otto;Frederick Selous
Battle of Belleau Wood;John J. Pershing;Crown Prince Wilhelm of Germany
Battle of Belleau Wood;John J. Pershing;Richard von Conta
Battle of Belleau Wood;James G. Harbord;Crown Prince Wilhelm of Germany
Battle of Belleau Wood;James G. Harbord;Richard von Conta
Battle of Belleau Wood;Omar Bundy;Crown Prince Wilhelm of Germany
Battle of Belleau Wood;Omar Bundy;Richard von Conta
Battle of Berestechko (1916);Vladislav Klembovsky;Paul Puhallo von Brlog
Battle of Binagadi;Nuri Killigil;Lionel Dunsterville
Battle of Binagadi;Nuri Killigil;Georgy Dokuchaev
Battle of Binagadi;Nuri Killigil;Colonel Avetisov
Battle of Binagadi;Nuri Killigil;Hamazasp Srvandztyan
Battle of Binagadi;Mürsel Bakû;Lionel Dunsterville
Battle of Binagadi;Mürsel Bakû;Georgy Dokuchaev
Battle of Binagadi;Mürsel Bakû;Colonel Avetisov
Battle of Binagadi;Mürsel Bakû;Hamazasp Srvandztyan
Battle of Binagadi;Suleyman Izzet Bey;Lionel Dunsterville
Battle of Binagadi;Suleyman Izzet Bey;Georgy Dokuchaev
Battle of Binagadi;Suleyman Izzet Bey;Colonel Avetisov
Battle of Binagadi;Suleyman Izzet Bey;Hamazasp Srvandztyan
Battle of Binagadi;Ali-Agha Shikhlinski;Lionel Dunsterville
Battle of Binagadi;Ali-Agha Shikhlinski;Georgy Dokuchaev
Battle of Binagadi;Ali-Agha Shikhlinski;Colonel Avetisov
Battle of Binagadi;Ali-Agha Shikhlinski;Hamazasp Srvandztyan
Battle of Binagadi;Gaimmegam Hasan Bey;Lionel Dunsterville
Battle of Binagadi;Gaimmegam Hasan Bey;Georgy Dokuchaev
Battle of Binagadi;Gaimmegam Hasan Bey;Colonel Avetisov
Battle of Binagadi;Gaimmegam Hasan Bey;Hamazasp Srvandztyan
Battle of Bir el Abd;Harry Chauvel;Kamil Bey
Battle of Bita Paka;Charles Elwell;Hans Wuchert
Battle of Bitlis;Nikolai Nikolaevich Yudenich;Mustafa Kemal Atatürk
Battle of Bitlis;Nikolai Nikolaevich Yudenich;Ahmed Izzet Pasha
Battle of Bitlis;Andranik Ozanian;Mustafa Kemal Atatürk
Battle of Bitlis;Andranik Ozanian;Ahmed Izzet Pasha
Battle of Bitlis;Agha Petros;Mustafa Kemal Atatürk
Battle of Bitlis;Agha Petros;Ahmed Izzet Pasha
Battle of Blanc Mont Ridge;Henri Gouraud;Crown Prince Wilhelm of Germany
Battle of Blanc Mont Ridge;John A. Lejeune;Crown Prince Wilhelm of Germany
Battle of Blanc Mont Ridge;William Ruthven Smith;Crown Prince Wilhelm of Germany
Battle of Bobruysk (1918);gen. Romanowskij;Józef Dowbor-Muśnicki
Battle of Bobruysk (1918);gen. Romanowskij;Bolesław Jaźwiński
Battle of Bobruysk (1918);gen. Romanowskij;Stanisław Wrzaliński
Battle of Bobruysk (1918);gen. Romanowskij;Władysław Anders
Battle of Bobruysk (1918);gen. Maksymowicz;Józef Dowbor-Muśnicki
Battle of Bobruysk (1918);gen. Maksymowicz;Bolesław Jaźwiński
Battle of Bobruysk (1918);gen. Maksymowicz;Stanisław Wrzaliński
Battle of Bobruysk (1918);gen. Maksymowicz;Władysław Anders
Battle of Bobruysk (1918);Jukums Vācietis;Józef Dowbor-Muśnicki
Battle of Bobruysk (1918);Jukums Vācietis;Bolesław Jaźwiński
Battle of Bobruysk (1918);Jukums Vācietis;Stanisław Wrzaliński
Battle of Bobruysk (1918);Jukums Vācietis;Władysław Anders
Battle of Brassó (1916);Grigore C. Crăiniceanu;Erich von Falkenhayn
Battle of Brassó (1916);Grigore C. Crăiniceanu;Edwin Sunkel
Battle of Brassó (1916);Grigore C. Crăiniceanu;Curt von Morgen
Battle of Broodseinde;Douglas Haig;Erich Ludendorff
Battle of Broodseinde;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Broodseinde;Douglas Haig;Friedrich Sixt von Armin
Battle of Broodseinde;Herbert Plumer;Erich Ludendorff
Battle of Broodseinde;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Broodseinde;Herbert Plumer;Friedrich Sixt von Armin
Battle of Broodseinde;Hubert Gough;Erich Ludendorff
Battle of Broodseinde;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of Broodseinde;Hubert Gough;Friedrich Sixt von Armin
Battle of Bucharest;Constantin Prezan;Erich von Falkenhayn
Battle of Bucharest;Constantin Prezan;August von Mackensen
Battle of Buggenhout;King Albert I;Albrecht of Württemberg
Battle of Buggenhout;Émile Dossin;Albrecht of Württemberg
Battle of Buggenhout;Augustin Édouard Michel du Faing d'Aigremont;Albrecht of Württemberg
Battle of Buggenhout;Alphonse Jacques;Albrecht of Württemberg
Battle of Bukoba;Maj. Willibald von Stuemer;Brigadier J. M. Stewart
Battle of Bukoba;Maj. Willibald von Stuemer;Daniel Patrick Driscoll
Battle of Bukoba;Eberhard Gudowius;Brigadier J. M. Stewart
Battle of Bukoba;Eberhard Gudowius;Daniel Patrick Driscoll
Battle of Buqqar Ridge;Philip Chetwode;İsmet İnönü
Battle of Buqqar Ridge;Philip Chetwode;Erich von Falkenhayn
Battle of Buqqar Ridge;Harry Chauvel;İsmet İnönü
Battle of Buqqar Ridge;Harry Chauvel;Erich von Falkenhayn
Battle of Báránykút;Grigore C. Crăiniceanu;Curt von Morgen
Battle of Cambrai (1917);Douglas Haig;Georg von der Marwitz
Battle of Cambrai (1917);Douglas Haig;Otto von Moser
Battle of Cambrai (1917);Douglas Haig;Hugo von Kathen
Battle of Cambrai (1917);Julian Byng;Georg von der Marwitz
Battle of Cambrai (1917);Julian Byng;Otto von Moser
Battle of Cambrai (1917);Julian Byng;Hugo von Kathen
Battle of Cambrai (1917);William Pulteney (British Army officer);Georg von der Marwitz
Battle of Cambrai (1917);William Pulteney (British Army officer);Otto von Moser
Battle of Cambrai (1917);William Pulteney (British Army officer);Hugo von Kathen
Battle of Cambrai (1918);Henry Horne, 1st Baron Horne;Otto von Below
Battle of Cambrai (1918);Julian Byng;Otto von Below
Battle of Cambrai (1918);Henry Rawlinson, 1st Baron Rawlinson;Otto von Below
Battle of Cambrai (1918);Arthur Currie;Otto von Below
Battle of Cantigny;Robert L. Bullard;Oskar von Hutier
Battle of Cape Sarych;Andrei Eberhardt;Wilhelm Souchon
Battle of Caporetto;Archduke Eugen of Austria;Luigi Cadorna
Battle of Caporetto;Archduke Eugen of Austria;Luigi Capello
Battle of Caporetto;Otto von Below;Luigi Cadorna
Battle of Caporetto;Otto von Below;Luigi Capello
Battle of Caporetto;Svetozar Boroević;Luigi Cadorna
Battle of Caporetto;Svetozar Boroević;Luigi Capello
Battle of Cer;Radomir Putnik;Oskar Potiorek
Battle of Cer;Radomir Putnik;Eduard von Böhm-Ermolli
Battle of Cer;Radomir Putnik;Liborius Ritter von Frank
Battle of Cer;Stepa Stepanović;Oskar Potiorek
Battle of Cer;Stepa Stepanović;Eduard von Böhm-Ermolli
Battle of Cer;Stepa Stepanović;Liborius Ritter von Frank
Battle of Cer;Pavle Jurišić Šturm;Oskar Potiorek
Battle of Cer;Pavle Jurišić Šturm;Eduard von Böhm-Ermolli
Battle of Cer;Pavle Jurišić Šturm;Liborius Ritter von Frank
Battle of Charah;Agha Petros;Simko Shikak
Battle of Charah;Malik Khoshaba;Simko Shikak
Battle of Charah;Dawid Mar Shimun;Simko Shikak
Battle of Charah;Malik Yaqo;Simko Shikak
Battle of Charleroi;Karl von Bülow;Charles Lanrezac
Battle of Charleroi;Karl von Bülow;Joseph Joffre
Battle of Charleroi;Max von Hausen;Charles Lanrezac
Battle of Charleroi;Max von Hausen;Joseph Joffre
Battle of Choloki (1918);Giorgi Mazniashvili;Wehib Pasha
Battle of Chunuk Bair;Alexander Godley;Mustafa Kemal Atatürk
Battle of Chunuk Bair;Alexander Godley;Hans Kannengiesser
Battle of Chunuk Bair;William George Malone;Mustafa Kemal Atatürk
Battle of Chunuk Bair;William George Malone;Hans Kannengiesser
Battle of Château-Thierry (1918);Charles Mangin;Erich Ludendorff
Battle of Château-Thierry (1918);John J. Pershing;Erich Ludendorff
Battle of Cocos;John Glossop;Karl von Müller
